DATE,IGREA
1968-04-01,1.2351692666666666
1968-07-01,-4.5765790333333333
1968-10-01,-0.6815137666666667
1969-01-01,-2.8288922333333333
1969-04-01,-5.1026770000000000
1969-07-01,2.1430716666666667
1969-10-01,19.68330857999999996667
1970-01-01,40.72801842000000003333
1970-04-01,14.9838690000000000
1970-07-01,-1.1811296666666667
1970-10-01,-10.0122290000000000
1971-01-01,-52.1517467333333333
1971-04-01,-26.7519916000000000
1971-07-01,-22.3380660000000000
1971-10-01,7.2541086666666666
1972-01-01,-14.9911183333333333
1972-04-01,1.6611126666666667
1972-07-01,20.9251068333333333
1972-10-01,42.43243306666666666667
1973-01-01,30.06122943333333333333
1973-04-01,20.7323843333333333
1973-07-01,19.6893133333333334
1973-10-01,38.4072310000000000
1974-01-01,-10.8831933333333334
1974-04-01,-6.6127426666666666
1974-07-01,-30.4866746666666667
1974-10-01,-12.9092443333333333
1975-01-01,-59.7640826533333334
1975-04-01,-28.3300960133333333
1975-07-01,0.1553983333333333
1975-10-01,9.3716053333333334
1976-01-01,-11.6813306666666667
1976-04-01,21.4292626666666667
1976-07-01,-1.9244643333333334
1976-10-01,-1.9182440000000000
1977-01-01,-21.2248016666666666
1977-04-01,6.5917590000000000
1977-07-01,-6.2534840000000000
1977-10-01,11.3779060000000000
1978-01-01,-4.0420240000000000
1978-04-01,12.2242066666666666
1978-07-01,4.6015373333333334
1978-10-01,12.3414707333333333
1979-01-01,2.9965928333333333
1979-04-01,34.6950217666666667
1979-07-01,16.9446076666666667
1979-10-01,-2.3208613333333334
1980-01-01,-3.7610200000000000
1980-04-01,21.2892616666666667
1980-07-01,-9.3120296666666667
1980-10-01,11.4028080000000000
1981-01-01,-3.9040323333333333
1981-04-01,-17.7191210000000000
1981-07-01,-20.6187693333333333
1981-10-01,-7.6708906000000000
1982-01-01,-12.67743863333333336667
1982-04-01,0.77369476666666666667
1982-07-01,-37.86866720000000000000
1982-10-01,13.6376743333333333
1983-01-01,10.2784996666666667
1983-04-01,1.1267657000000000
1983-07-01,-20.9691633666666667
1983-10-01,6.1118960000000000
1984-01-01,3.2819210000000000
1984-04-01,5.6419136666666667
1984-07-01,-9.3870920000000000
1984-10-01,7.6298596666666667
1985-01-01,-5.4535993333333334
1985-04-01,-1.1547060000000000
1985-07-01,-25.8760960000000000
1985-10-01,16.2166496666666667
1986-01-01,-11.8931386666666667
1986-04-01,-17.4511696666666666
1986-07-01,-5.4197540000000000
1986-10-01,17.8216903333333333
1987-01-01,12.2203673333333333
1987-04-01,16.0169176666666667
1987-07-01,0.1883980000000000
1987-10-01,13.3375153666666667
1988-01-01,23.6784136333333333
1988-04-01,-8.1303602333333333
1988-07-01,-12.4856433333333334
1988-10-01,14.3082007666666667
1989-01-01,10.1078948000000000
1989-04-01,-1.9713414666666667
1989-07-01,-11.4182033333333333
1989-10-01,11.9868048000000000
1990-01-01,-0.4183623333333333
1990-04-01,-20.2267329000000000
1990-07-01,-13.6895907666666667
1990-10-01,11.6911689833333333
1991-01-01,17.6163196100000000
1991-04-01,4.3776744066666667
1991-07-01,-8.1435706666666667
1991-10-01,3.2793922333333334
1992-01-01,-17.6475933333333334
1992-04-01,-10.7087642333333333
1992-07-01,-12.6308313333333333
1992-10-01,12.1452868666666666
1993-01-01,11.6523897333333334
1993-04-01,13.1069299000000000
1993-07-01,-10.5019953000000000
1993-10-01,-7.3159515333333334
1994-01-01,-10.0530206666666666
1994-04-01,15.2734678400000000
1994-07-01,6.78391546999999996667
1994-10-01,24.69032735666666663333
1995-01-01,8.8658993333333334
1995-04-01,4.5119493333333333
1995-07-01,-6.9426013333333333
1995-10-01,-19.5750347666666667
1996-01-01,-13.8412518000000000
1996-04-01,-5.7002637666666667
1996-07-01,-24.7092003333333333
1996-10-01,21.8364695333333333
1997-01-01,7.8289921333333334
1997-04-01,-10.3301796666666667
1997-07-01,0.0342213333333333
1997-10-01,-3.5704783333333333
1998-01-01,-17.0714616666666667
1998-04-01,-10.7400146666666666
1998-07-01,-13.0661973333333334
1998-10-01,10.5013473333333334
1999-01-01,-6.8760793333333334
1999-04-01,13.1919643333333334
1999-07-01,5.9950680000000000
1999-10-01,23.6678243333333333
2000-01-01,7.9985879000000000
2000-04-01,10.2528200000000000
2000-07-01,1.8439598666666667
2000-10-01,1.6778423000000000
2001-01-01,-11.2114502666666667
2001-04-01,-6.6179308666666667
2001-07-01,-31.2026142666666666
2001-10-01,-16.5852426666666667
2002-01-01,11.9887126666666667
2002-04-01,4.7513086666666666
2002-07-01,1.8149610000000000
2002-10-01,34.6752928000000000
2003-01-01,14.7284439333333334
2003-04-01,21.6165486000000000
2003-07-01,7.3243010000000000
2003-10-01,63.0617500000000000
2004-01-01,19.1250853333333333
2004-04-01,-38.2228986666666667
2004-07-01,10.8977920000000000
2004-10-01,23.1840633333333334
2005-01-01,-11.0598600000000000
2005-04-01,-24.7313716666666667
2005-07-01,-41.0506856666666667
2005-10-01,18.1181590000000000
2006-01-01,-17.0709613333333333
2006-04-01,3.9336603333333333
2006-07-01,33.5973093333333334
2006-10-01,16.8121966666666666
2007-01-01,10.1122133333333334
2007-04-01,24.3434100000000000
2007-07-01,21.3846933333333333
2007-10-01,32.0372400000000000
2008-01-01,-33.9963533333333333
2008-04-01,27.2165300000000000
2008-07-01,-35.3200433333333334
2008-10-01,-187.2054763333333333
2009-01-01,36.9613930000000000
2009-04-01,53.6616505000000000
2009-07-01,8.8327335000000000
2009-10-01,19.7103186666666667
2010-01-01,-11.3631153333333334
2010-04-01,9.9310460000000000
2010-07-01,-34.7652013333333333
2010-10-01,-0.1341223333333333
2011-01-01,-55.1208654666666667
2011-04-01,1.1170158000000000
2011-07-01,9.5826536666666667
2011-10-01,23.8086440000000000
2012-01-01,-80.9803383333333334
2012-04-01,17.5749650000000000
2012-07-01,-20.5228526666666666
2012-10-01,12.6667246666666666
2013-01-01,-16.8010743333333333
2013-04-01,11.6246296666666667
2013-07-01,35.8482471000000000
2013-10-01,37.9894235666666666
2014-01-01,-31.5426310333333333
2014-04-01,-32.3427853000000000
2014-07-01,-3.7897860000000000
2014-10-01,16.2890706666666667
2015-01-01,-58.1345956666666667
2015-04-01,2.8598236666666667
2015-07-01,44.1160843333333333
2015-10-01,-44.4521830000000000
2016-01-01,-54.8648266666666667
2016-04-01,53.5977306666666667
2016-07-01,18.1838613333333333
2016-10-01,30.1346540000000000
2017-01-01,-7.3991276666666666
2017-04-01,9.0885853333333333
2017-07-01,10.7435570000000000
2017-10-01,29.9500997000000000
2018-01-01,-26.0508330333333333
2018-04-01,6.6285283333333333
2018-07-01,24.3266596666666667
2018-10-01,-16.7937807233333334
2019-01-01,-55.9338746100000000
2019-04-01,23.8579236666666667
2019-07-01,73.0117166666666667
2019-10-01,-28.42378780000000003333
2020-01-01,-96.86774819999999996667
2020-04-01,22.9623620000000000
2020-07-01,74.00470603333333330000
2020-10-01,-12.69006430000000000000
2021-01-01,24.2542118666666667
2021-04-01,46.9970130666666666
2021-07-01,27.5660690000000000
